word1;word1 definitions;word2;word2 definitions;word1 sound; word2 sound
voodne;['водить кого, помогать кому идти (постоянно', 'иногда, бывало)', 'водить (машину и т. п. - постоянно', 'иногда, бывало)'];koodne;['нереститься (постоянно', 'иногда, бывало)'];v;k
voodne;['водить кого, помогать кому идти (постоянно', 'иногда, бывало)', 'водить (машину и т. п. - постоянно', 'иногда, бывало)'];koodne;['нереститься (постоянно', 'иногда, бывало)'];v;k
voodne;['водить кого, помогать кому идти (постоянно', 'иногда, бывало)', 'водить (машину и т. п. - постоянно', 'иногда, бывало)'];roodne;['рвать, вырывать, выдёргивать что, дёргать кого-что за что, полоть что (постоянно', 'иногда, бывало)', 'перен. отвлекать, отрывать кого от чего (постоянно', 'иногда, бывало)'];v;r
voodtle;['сводить кого (куда-л. - быстро)', 'поводить что, поуправлять чем (немного)'];vuedtle;['то же, что [b]вуэдҍсэ'];oo;ue
voodtle;['сводить кого (куда-л. - быстро)', 'поводить что, поуправлять чем (немного)'];voosstle;['покупать, приобретать, закупать что (постоянно', 'иногда, бывало)'];d;ss
voodtle;['сводить кого (куда-л. - быстро)', 'поводить что, поуправлять чем (немного)'];koodtle;['отнереститься (быстро)'];v;k
voodtle;['сводить кого (куда-л. - быстро)', 'поводить что, поуправлять чем (немного)'];poodtle;['прибывать, приходить, приезжать, поступать (о ком-чём-л.)', 'бывать', 'наступать (о времени)', 'приходить в какое-л. состояние'];v;p
voodtle;['сводить кого (куда-л. - быстро)', 'поводить что, поуправлять чем (немного)'];roodtle;['то же, что [b]ро̄днэ'];v;r
voodtjuvve;[];koodtjuvve;['отнереститься'];v;k
voodtjuvve;[];koodtjuvve;['отнереститься'];v;k
voodtjuvve;[];roodtjuvve;['то же, что [b]ро̄дтъе'];v;r
voodče;[];vuudče;['спать (постоянно', 'иногда, бывало)'];oo;uu
voodče;[];koodče;['вязать (постоянно, иногда, бывало)'];v;k
voodče;[];roodče;[];v;r
voodtedte;['бывать (где-л.), быть вхожим, иметь доступ (куда-л.)', 'посещать / посетить кого-что'];voodtedne;['бывать (где-л. - постоянно', 'иногда, бывало)'];t;n
voodtedte;['бывать (где-л.), быть вхожим, иметь доступ (куда-л.)', 'посещать / посетить кого-что'];voodtedse;['побывать (где-л.)'];t;s
voodtedne;['бывать (где-л. - постоянно', 'иногда, бывало)'];voodtedse;['побывать (где-л.)'];n;s
vooss;['воз'];vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];oo;uu
vooss;['воз'];kooss;['с.-х. коса'];v;k
vooznedte;['заниматься перевозкой, доставкой чего'];vɨznedte;['дразниться'];oo;ɨ
vooznedte;['заниматься перевозкой, доставкой чего'];rooznedte;['грозить друг другу'];v;r
voozxe;['страд. к [b]во̄ссэ'];vɨzxe;['дразнить, побуждать кого к хныканью', 'побуждать кого к ворчанью (к брюзжанию)'];oo;ɨ
voossle;['завезти что, чего (куда-л.)', 'повозить что (недолго)'];koossle;[];v;k
voossle;['завезти что, чего (куда-л.)', 'повозить что (недолго)'];roossle;[];v;r
voossjuvve;[];koossjuvve;[];v;k
voosse;['возить, доставлять, завозить что'];koosse;['косить что'];v;k
voosse;['возить, доставлять, завозить что'];roosse;['грозить кому чем'];v;r
vuagke;['бежать рысью', 'перен. гулять с кем'];vuagne;['бежать рысью, рысцой (постоянно', 'иногда, бывало)'];k;n
vuagke;['бежать рысью', 'перен. гулять с кем'];vuagxe;[];k;x
vuagke;['бежать рысью', 'перен. гулять с кем'];vuahke;['стонать, издавать стоны'];g;h
vuagke;['бежать рысью', 'перен. гулять с кем'];vuugke;['сказ. густой, густ (о шерсти)'];ua;uu
vuagke;['бежать рысью', 'перен. гулять с кем'];vuegke;['стать густым (о шерсти)'];ua;ue
vuagke;['бежать рысью', 'перен. гулять с кем'];vuaŋŋke;['удить кого'];g;ŋŋ
vuagke;['бежать рысью', 'перен. гулять с кем'];vɨgke;['отнести, отвести, отвезти кого-что', 'перенести кого-что'];ua;ɨ
vuagke;['бежать рысью', 'перен. гулять с кем'];nuagke;['качать кого-что, укачивать / укачать (ребенка)'];v;n
vuagke;['бежать рысью', 'перен. гулять с кем'];cuagke;['уменьшаться (о количестве воды в водоёме)', 'начинаться, наступать (об отливе)'];v;c
vuagkle;['побежать рысью, рысцой'];vuaŋŋkle;['однокр. закинуть удочку', 'прям., перен. достать, добыть что (быстро)'];g;ŋŋ
vuagkle;['побежать рысью, рысцой'];vɨgkle;['отнести, отвести, отвезти кого-что (быстро)', 'перенести кого-что (быстро)'];ua;ɨ
vuagkle;['побежать рысью, рысцой'];nuagkle;['однокр. качнуть (колыбель)'];v;n
vuagkmušš;['бег рысью, рысцой'];vuahkmušš;['стон'];g;h
vuagne;['бежать рысью, рысцой (постоянно', 'иногда, бывало)'];vuagxe;[];n;x
vuagne;['бежать рысью, рысцой (постоянно', 'иногда, бывало)'];vuajne;['тонуть, погружаться в воду (о чём-л. - постоянно', 'иногда, бывало)'];g;j
vuagne;['бежать рысью, рысцой (постоянно', 'иногда, бывало)'];vuakne;['однокр. издать стон'];g;k
vuagne;['бежать рысью, рысцой (постоянно', 'иногда, бывало)'];vuegne;[];ua;ue
vuagne;['бежать рысью, рысцой (постоянно', 'иногда, бывало)'];vuugne;['гудеть, шуметь (постоянно', 'иногда, бывало)'];ua;uu
vuagne;['бежать рысью, рысцой (постоянно', 'иногда, бывало)'];vɨgne;['относить, отводить, отвозить кого-что (постоянно', 'иногда, бывало)', 'переносить кого-что (постоянно', 'иногда, бывало)'];ua;ɨ
vuagxe;[];vuajxe;[];g;j
vuagxe;[];nuagxe;['понуд. к [b]нуагкэ'];v;n
vuadt;['берлога'];vuedt;['подошва, подмётка', 'основание горы', 'плоскогорье', 'дно (сосуда и т. п.)'];ua;ue
vuadt;['берлога'];vɨdt;['. пять'];ua;ɨ
vuaje;['тонуть / утонуть, потонуть, затонуть, идти / пойти ко дну (о чём-л.)'];vuuje;['плыть (о ком-л.)', 'плавать (держаться на воде)'];ua;uu
vuaje;['тонуть / утонуть, потонуть, затонуть, идти / пойти ко дну (о чём-л.)'];vueje;['мочь, быть в состоянии, иметь возможность (что-л. сделать)'];ua;ue
vuaje;['тонуть / утонуть, потонуть, затонуть, идти / пойти ко дну (о чём-л.)'];vuamme;['стареть / постареть, дряхлеть / одряхлеть, стариться / состариться', 'становиться старым, ветхим', 'становиться изношенным'];j;mm
vuaje;['тонуть / утонуть, потонуть, затонуть, идти / пойти ко дну (о чём-л.)'];vɨje;['ехать'];ua;ɨ
vuajjle;['утонуть, затонуть, погрузиться в воду (быстро - о чём-л.)'];vuajjpe;['прям., перен. бороться с кем-чем'];l;p
vuajjle;['утонуть, затонуть, погрузиться в воду (быстро - о чём-л.)'];vuujjle;['поплыть (куда-л.)'];ua;uu
vuajjle;['утонуть, затонуть, погрузиться в воду (быстро - о чём-л.)'];vuejjle;['смочь, получить возможность (что-л. сделать быстро)'];ua;ue
vuajjle;['утонуть, затонуть, погрузиться в воду (быстро - о чём-л.)'];vɨjjle;['поехать, уехать'];ua;ɨ
vuajne;['тонуть, погружаться в воду (о чём-л. - постоянно', 'иногда, бывало)'];vuajxe;[];n;x
vuajne;['тонуть, погружаться в воду (о чём-л. - постоянно', 'иногда, бывало)'];vuakne;['однокр. издать стон'];j;k
vuajne;['тонуть, погружаться в воду (о чём-л. - постоянно', 'иногда, бывало)'];vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];ua;uu
vuajne;['тонуть, погружаться в воду (о чём-л. - постоянно', 'иногда, бывало)'];vɨjne;['ездить (в разных направлениях - постоянно', 'иногда, бывало)'];ua;ɨ
vuajxe;[];vuujxe;['испачкать маслом, замаслить что'];ua;uu
vuajxe;[];vɨjxe;['гнать, выгонять / выгнать, перегонять / перегнать кого (куда-л.)', 'гнать, выгонять / выгнать, прогонять / прогнать кого (откуда-л.), загонять / загнать кого (куда-л.)'];ua;ɨ
vuajjlahte;['забыть, позабыть что, о чём, выпустить из памяти, упустить из виду что', 'забыть, оставить что'];vɨjjlahte;['понуд. к [b]выйхэ', 'отогнать кого'];ua;ɨ
vuajpse;['побороться с кем-чем (недолго)'];vuajpxe;[];s;x
vuunnčje;[];vuannčje;['набрать вес, поправиться'];uu;ua
vuahke;['стонать, издавать стоны'];vuaŋŋke;['удить кого'];h;ŋŋ
vuahke;['стонать, издавать стоны'];luahke;['колоть что (на куски)'];v;l
vuakne;['однокр. издать стон'];vuukne;['стонать, издавать стоны (постоянно', 'иногда, бывало)'];ua;uu
vuukne;['стонать, издавать стоны (постоянно', 'иногда, бывало)'];vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];k;j
vuukne;['стонать, издавать стоны (постоянно', 'иногда, бывало)'];vuujjne;['дышать'];k;jj
vuukne;['стонать, издавать стоны (постоянно', 'иногда, бывало)'];vuul'ne;['понизить, снизить что, сделать что ниже', 'убавить, ослабить что'];k;l'
vuukne;['стонать, издавать стоны (постоянно', 'иногда, бывало)'];vuugne;['гудеть, шуметь (постоянно', 'иногда, бывало)'];k;g
vuukne;['стонать, издавать стоны (постоянно', 'иногда, бывало)'];luukne;['то же, что [b]лӯкче'];v;l
vuukne;['стонать, издавать стоны (постоянно', 'иногда, бывало)'];ruukne;['приберегать что', 'прятать кого-что (постоянно', 'иногда, бывало)', 'хоронить кого (постоянно', 'иногда, бывало)'];v;r
vuuvvt;['дупло'];vuuppt;['волос'];vv;pp
vuuvvt;['дупло'];vuus't;['. встречный (о ветре, течении и т. п.)', 'против кого-чего, навстречу кому-чему', 'против кого-чего, прямо перед кем-чем'];vv;s'
vuugkluvve;['стать густым (о шерсти)'];vuegkluvve;['начать гудеть, загудеть'];uu;ue
vuugke;['сказ. густой, густ (о шерсти)'];vuegke;['стать густым (о шерсти)'];uu;ue
vuugke;['сказ. густой, густ (о шерсти)'];vuul'l'ke;['пойти, отправиться, направиться', 'пойти, поступить', 'пойти (об осадках)', 'пойти, израсходоваться[b]; кабпьре вӯлькэ э̄хт вуэскэд [/b]на шапку пошёл один пыжик'];g;l'l'
vuugke;['сказ. густой, густ (о шерсти)'];vuugne;['гудеть, шуметь (постоянно', 'иногда, бывало)'];k;n
vuugke;['сказ. густой, густ (о шерсти)'];vɨgke;['отнести, отвести, отвезти кого-что', 'перенести кого-что'];uu;ɨ
vuegke;['стать густым (о шерсти)'];vuegne;[];k;n
vuegke;['стать густым (о шерсти)'];vuegse;['погудеть, пошуметь (немного - напр. о лесе)'];k;s
vuegke;['стать густым (о шерсти)'];vuel̥'l̥'ke;['блестеть, сверкать, искриться'];g;l̥'l̥'
vuegke;['стать густым (о шерсти)'];vɨgke;['отнести, отвести, отвезти кого-что', 'перенести кого-что'];ue;ɨ
vuegne;[];vuellne;['стать ниже, снизиться, понизиться', 'снизиться, спуститься ниже'];g;ll
vuegne;[];vuugne;['гудеть, шуметь (постоянно', 'иногда, бывало)'];ue;uu
vuegne;[];vuegse;['погудеть, пошуметь (немного - напр. о лесе)'];n;s
vuegne;[];vɨgne;['относить, отводить, отвозить кого-что (постоянно', 'иногда, бывало)', 'переносить кого-что (постоянно', 'иногда, бывало)'];ue;ɨ
vuuz'xe;['показать кого-что', 'продемонстрировать что', 'указать кому на что, обратить чьё-л. внимание на что', 'показать себя кем'];vuujxe;['испачкать маслом, замаслить что'];z';j
vuuz'xe;['показать кого-что', 'продемонстрировать что', 'указать кому на что, обратить чьё-л. внимание на что', 'показать себя кем'];vuulxe;['заботиться, беспокоиться, проявлять заботу, хлопотать о ком-чём', 'опекать кого, брать кого под опеку'];z';l
vuuz'xe;['показать кого-что', 'продемонстрировать что', 'указать кому на что, обратить чьё-л. внимание на что', 'показать себя кем'];vuurxe;['заставлять кого сойти с ума, сводить кого с ума'];z';r
vuuz'xuvve;['показаться', 'иногда, бывало)'];vuez'xuvve;['лишиться счастья'];uu;ue
vuujvas;['печень ж'];vuujkas;['сказ.', 'прямой, ровный, прям, ровен', 'прямой, стройный, хорошо сложенный (сложён), прям, строен', 'перен. прямой, справедливый, прям, справедлив'];v;k
vuujvas;['печень ж'];vuujnas;['воздух'];v;n
vuuje;['плыть (о ком-л.)', 'плавать (держаться на воде)'];vuul'l'e;['сказ. низкий, невысокий, низок, невысок'];j;l'l'
vuuje;['плыть (о ком-л.)', 'плавать (держаться на воде)'];vuulle;['строгать что'];j;ll
vuuje;['плыть (о ком-л.)', 'плавать (держаться на воде)'];vuurre;['сходить / сойти с ума, лишаться / лишиться ума, помешаться'];j;rr
vuuje;['плыть (о ком-л.)', 'плавать (держаться на воде)'];vueje;['мочь, быть в состоянии, иметь возможность (что-л. сделать)'];uu;ue
vuuje;['плыть (о ком-л.)', 'плавать (держаться на воде)'];vɨje;['ехать'];uu;ɨ
vuuje;['плыть (о ком-л.)', 'плавать (держаться на воде)'];tuuje;['прям., перен. одолевать/одолеть кого-что'];v;t
vuujej;['пловец (пловчиха ж)'];vuur'r'ej;['сумасшедший, душевнобольной'];j;r'r'
vuujjle;['поплыть (куда-л.)'];vuujjne;['дышать'];l;n
vuujjle;['поплыть (куда-л.)'];vuejjle;['смочь, получить возможность (что-л. сделать быстро)'];uu;ue
vuujjle;['поплыть (куда-л.)'];vɨjjle;['поехать, уехать'];uu;ɨ
vuujjle;['поплыть (куда-л.)'];čuujjle;['то же, что [b]чӯйсэ'];v;č
vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];vuujxe;['испачкать маслом, замаслить что'];n;x
vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];vuujjne;['дышать'];j;jj
vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];vuul'ne;['понизить, снизить что, сделать что ниже', 'убавить, ослабить что'];j;l'
vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];vuugne;['гудеть, шуметь (постоянно', 'иногда, бывало)'];j;g
vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];vɨjne;['ездить (в разных направлениях - постоянно', 'иногда, бывало)'];uu;ɨ
vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];tuujne;['прям., перен. одолевать кого-что (постоянно', 'иногда, бывало)'];v;t
vuujne;['плавать (в разных направлениях - постоянно', 'иногда, бывало)'];čuujne;['звенеть, позванивать (постоянно', 'иногда, бывало)', 'зазвенеть, начать звенеть'];v;č
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuull;['забота, беспокойство', 'опека, попечение'];jj;ll
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuum'm';['долина'];jj;m'm'
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuunn;['залив, бухта, заводь ж'];jj;nn
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuun'n';['свекровь ж', 'тёща'];jj;n'n'
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];jj;ss
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuus's';['пыжик (оленёнок до 3-4 месяцев)'];jj;s's'
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuajj;['можно'];uu;ua
vuujj;['масло', 'топлёный жир (олений, рыбий)'];vuejj;['ручей'];uu;ue
vuujj;['масло', 'топлёный жир (олений, рыбий)'];kuujj;['муж'];v;k
vuujj;['масло', 'топлёный жир (олений, рыбий)'];tuujj;['(тӯй) I, 2', 'дело, работа, труд', 'деятельность', 'поступок'];v;t
vuujj;['масло', 'топлёный жир (олений, рыбий)'];čuujj;['звон'];v;č
vuujjluvve;['пропитаться (покрыться, испачкаться) маслом'];vuejjluvve;['превратиться в ручей'];uu;ue
vuujxe;['испачкать маслом, замаслить что'];vuulxe;['заботиться, беспокоиться, проявлять заботу, хлопотать о ком-чём', 'опекать кого, брать кого под опеку'];j;l
vuujxe;['испачкать маслом, замаслить что'];vuurxe;['заставлять кого сойти с ума, сводить кого с ума'];j;r
vuujxe;['испачкать маслом, замаслить что'];vɨjxe;['гнать, выгонять / выгнать, перегонять / перегнать кого (куда-л.)', 'гнать, выгонять / выгнать, прогонять / прогнать кого (откуда-л.), загонять / загнать кого (куда-л.)'];uu;ɨ
vuujxe;['испачкать маслом, замаслить что'];čuujxe;[];v;č
vuujjk;['. прямой, ровный', 'прямой, стройный, хорошо сложенный', 'перен. прямой, справедливый'];vuuŋŋk;['рыболовный крючок'];jj;ŋŋ
vuujjkne;['сделаться прямым, выпрямиться, распрямиться, разогнуться', 'перен. исправиться'];vuujjkte;[];n;t
vuujjkne;['сделаться прямым, выпрямиться, распрямиться, разогнуться', 'перен. исправиться'];vuujjkje;['выпрямлять / выпрямить что', 'управлять, править кем-чем', 'обучать / обучить (напр. оленей)', 'перен. поправлять / поправить, исправлять / исправить кого-что'];n;j
vuujjkne;['сделаться прямым, выпрямиться, распрямиться, разогнуться', 'перен. исправиться'];vuul̥kne;[];jj;l̥
vuujjkte;[];vuujjkje;['выпрямлять / выпрямить что', 'управлять, править кем-чем', 'обучать / обучить (напр. оленей)', 'перен. поправлять / поправить, исправлять / исправить кого-что'];t;j
vuujjktedne;['то же, что [b]вӯййктужнэ'];vuujjktedte;['то же, что [b]вӯййктушшэ'];n;t
vuujkas;['сказ.', 'прямой, ровный, прям, ровен', 'прямой, стройный, хорошо сложенный (сложён), прям, строен', 'перен. прямой, справедливый, прям, справедлив'];vuujnas;['воздух'];k;n
vuujjne;['дышать'];vuul'ne;['понизить, снизить что, сделать что ниже', 'убавить, ослабить что'];jj;l'
vuujjne;['дышать'];vuugne;['гудеть, шуметь (постоянно', 'иногда, бывало)'];jj;g
vuull;['забота, беспокойство', 'опека, попечение'];vuum'm';['долина'];ll;m'm'
vuull;['забота, беспокойство', 'опека, попечение'];vuunn;['залив, бухта, заводь ж'];ll;nn
vuull;['забота, беспокойство', 'опека, попечение'];vuun'n';['свекровь ж', 'тёща'];ll;n'n'
vuull;['забота, беспокойство', 'опека, попечение'];vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];ll;ss
vuull;['забота, беспокойство', 'опека, попечение'];vuus's';['пыжик (оленёнок до 3-4 месяцев)'];ll;s's'
vuull;['забота, беспокойство', 'опека, попечение'];kuull;['семенник (мужская половая железа)'];v;k
vuull;['забота, беспокойство', 'опека, попечение'];suull;['вор'];v;s
vuulxe;['заботиться, беспокоиться, проявлять заботу, хлопотать о ком-чём', 'опекать кого, брать кого под опеку'];vuulse;['построгать что (немного)'];x;s
vuulxe;['заботиться, беспокоиться, проявлять заботу, хлопотать о ком-чём', 'опекать кого, брать кого под опеку'];vuurxe;['заставлять кого сойти с ума, сводить кого с ума'];l;r
vuulxe;['заботиться, беспокоиться, проявлять заботу, хлопотать о ком-чём', 'опекать кого, брать кого под опеку'];nuulxe;[];v;n
vuulxe;['заботиться, беспокоиться, проявлять заботу, хлопотать о ком-чём', 'опекать кого, брать кого под опеку'];suulxe;['подозревать кого-л. в воровстве'];v;s
vuul'l'e;['сказ. низкий, невысокий, низок, невысок'];vuulle;['строгать что'];l'l';ll
vuul'l'e;['сказ. низкий, невысокий, низок, невысок'];vuurre;['сходить / сойти с ума, лишаться / лишиться ума, помешаться'];l'l';rr
vuul'l'e;['сказ. низкий, невысокий, низок, невысок'];puul'l'e;['прям., перен.', 'I, 2 гореть, сгореть', 'горячий', 'раскалённый, накалённый'];v;p
vuul'l'en';['. внизу', 'послелог под кем-чем (где-л.)', 'послелог из-под кого-чего (откуда-л.)'];vuuš'en';['налим'];l'l';š'
vuul'ne;['понизить, снизить что, сделать что ниже', 'убавить, ослабить что'];vuugne;['гудеть, шуметь (постоянно', 'иногда, бывало)'];l';g
vuul'ne;['понизить, снизить что, сделать что ниже', 'убавить, ослабить что'];puul'ne;['прям., перен. гореть (постоянно', 'иногда, бывало)'];v;p
vuellne;['стать ниже, снизиться, понизиться', 'снизиться, спуститься ниже'];vuellše;['считать кого-что низким'];n;š
vuellše;['считать кого-что низким'];kuellše;['считать, что где-л. много рыбы'];v;k
vuellše;['считать кого-что низким'];suellše;['считать что-л. очень солёным'];v;s
vuulle;['строгать что'];vuurre;['сходить / сойти с ума, лишаться / лишиться ума, помешаться'];ll;rr
vuulle;['строгать что'];nuulle;['распускать / распустить (вязаную вещь)', 'расплетать / расплести, разматывать / размотать что', 'развязывать / развязать (воз)', 'распелёнывать / распеленать кого-что'];v;n
vuullse;['безл. строгаться'];vuulse;['построгать что (немного)'];ll;l
vuullse;['безл. строгаться'];ɲ'uullse;['разрезать что-л. на полоски'];v;ɲ'
vuulse;['построгать что (немного)'];nuulse;['распустить, расплести, развязать, размотать что (быстро)', 'распеленать (ребёнка - быстро)'];v;n
vuum'm';['долина'];vuunn;['залив, бухта, заводь ж'];m'm';nn
vuum'm';['долина'];vuun'n';['свекровь ж', 'тёща'];m'm';n'n'
vuum'm';['долина'];vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];m'm';ss
vuum'm';['долина'];vuus's';['пыжик (оленёнок до 3-4 месяцев)'];m'm';s's'
vuum'm';['долина'];vuem'm';['тж. сказ.', 'старый, престарелый, стар', 'старый, ветхий, стар, ветх', 'старый, давний, стар'];uu;ue
vuunn;['залив, бухта, заводь ж'];vuun'n';['свекровь ж', 'тёща'];nn;n'n'
vuunn;['залив, бухта, заводь ж'];vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];nn;ss
vuunn;['залив, бухта, заводь ж'];vuus's';['пыжик (оленёнок до 3-4 месяцев)'];nn;s's'
vuunn;['залив, бухта, заводь ж'];kuunn;['запах мочи (человека)'];v;k
vuunn;['залив, бухта, заводь ж'];suunn;['нитка', 'кровеносный сосуд', 'сухожилие', 'тяж'];v;s
vuuŋŋk;['рыболовный крючок'];vueŋŋk;['нора'];uu;ue
vuaŋkne;['удить кого (постоянно', 'иногда, бывало)'];vuaŋkse;['поудить кого (недолго, немного)'];n;s
vuaŋkne;['удить кого (постоянно', 'иногда, бывало)'];vual̥kne;['однокр. блеснуть, сверкнуть'];ŋ;l̥
vuun'n';['свекровь ж', 'тёща'];vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];n'n';ss
vuun'n';['свекровь ж', 'тёща'];vuus's';['пыжик (оленёнок до 3-4 месяцев)'];n'n';s's'
vuun'n';['свекровь ж', 'тёща'];vɨn'n';['вино'];uu;ɨ
vuuppt;['волос'];vuus't;['. встречный (о ветре, течении и т. п.)', 'против кого-чего, навстречу кому-чему', 'против кого-чего, прямо перед кем-чем'];pp;s'
vuur'tne;['ждать, ожидать кого-что, чего, подождать кого-что, дожидаться кого-чего (постоянно', 'иногда, бывало)'];vuuјtne;['побеждать, одолевать, пересиливать кого, одерживать победу (постоянно, иногда, бывало)'];r';ј
vuur'tne;['ждать, ожидать кого-что, чего, подождать кого-что, дожидаться кого-чего (постоянно', 'иногда, бывало)'];vuus'tne;['то же, что [b]во̄сстлэ'];r';s'
vuur'tne;['ждать, ожидать кого-что, чего, подождать кого-что, дожидаться кого-чего (постоянно', 'иногда, бывало)'];suur'tne;['валить что (постоянно', 'иногда, бывало)'];v;s
vuurre;['сходить / сойти с ума, лишаться / лишиться ума, помешаться'];vɨrre;['выпасть (неожиданно, обильно - об осадках)'];uu;ɨ
vuurre;['сходить / сойти с ума, лишаться / лишиться ума, помешаться'];vɨrre;['выпасть (неожиданно, обильно - об осадках)'];uu;ɨ
vuurxe;['заставлять кого сойти с ума, сводить кого с ума'];veerxe;['испачкать кого-что кровью'];uu;ee
vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];vuus's';['пыжик (оленёнок до 3-4 месяцев)'];ss;s's'
vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];kuuss;['ель ж, ёлка'];v;k
vuuss;['киса (национальная сумка для продуктов, одежды, обуви с круглым дном из тюленьей шкуры', 'боковины сумки обычно из оленьей дублёной кожи. Сумка украшается разноцветными суконными треугольниками или орнаментом из белой кожи. Верх затягивается продёрнутым через отверстия шнурком из кожи)'];luuss;['сёмга'];v;l
vuus's';['пыжик (оленёнок до 3-4 месяцев)'];vues's';['счастье', 'удача', 'везение', 'доля, пай'];uu;ue
vuus's';['пыжик (оленёнок до 3-4 месяцев)'];kuus's';['гость м'];v;k
vuus't;['. встречный (о ветре, течении и т. п.)', 'против кого-чего, навстречу кому-чему', 'против кого-чего, прямо перед кем-чем'];ves't;['. о, об кого, обо что', 'по кому-чему', 'перед кем-чем', 'около, возле кого-чего', 'к кому-чему'];uu;e
vuesstluvve;['встретиться, повстречаться с кем', 'начать возражать (противоречить) кому-чему'];vueјјtluvve;['начать побеждать (одолевать) кого'];ss;јј
vuesstluvne;['встречаться с кем (постоянно', 'иногда, бывало)', 'начинать возражать (противоречить) кому-чему (постоянно', 'иногда, бывало)'];vuex'x'tluvne;['покрываться тучами (постоянно', 'иногда, бывало)'];ss;x'x'
vuesstle;['встречать / встретить, видеть / увидеть кого', 'встречать / встретить, принимать / принять, приветствовать / поприветствовать кого (на месте прибытия)', 'отвечать / ответить что', 'возражать / возразить, противоречить кому-чему'];vuedtle;['то же, что [b]вуэдҍсэ'];ss;d
vuesstle;['встречать / встретить, видеть / увидеть кого', 'встречать / встретить, принимать / принять, приветствовать / поприветствовать кого (на месте прибытия)', 'отвечать / ответить что', 'возражать / возразить, противоречить кому-чему'];vueјјtle;['победить, одолеть, побороть, пересилить кого, одержать победу над кем (быстро)'];ss;јј
vuesstle;['встречать / встретить, видеть / увидеть кого', 'встречать / встретить, принимать / принять, приветствовать / поприветствовать кого (на месте прибытия)', 'отвечать / ответить что', 'возражать / возразить, противоречить кому-чему'];voosstle;['покупать, приобретать, закупать что (постоянно', 'иногда, бывало)'];ue;oo
vuesstle;['встречать / встретить, видеть / увидеть кого', 'встречать / встретить, принимать / принять, приветствовать / поприветствовать кого (на месте прибытия)', 'отвечать / ответить что', 'возражать / возразить, противоречить кому-чему'];vues's'tle;['купить, приобрести, закупить что (быстро)'];ss;s's'
vuuhp;['свёкор', 'тесть м'];vuuhp';['руль м (в лодке)'];p;p'
vuuhp'je;['то же, что [b]вӯһпьтэ'];vuuhp'te;['управлять лодкой при помощи руля (о рулевом)', 'грести и править лодкой (о заднем гребце)'];j;t
